Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
Mexico,Plantains and others,1995,1362.45,13.14,28.42,55866.0
Germany,Wheat,1990,1470.21,100.11,24.61,32022.5
Mexico,Sweet potatoes,2019,1626.52,13.41,14.82,139229.3
United States,Plantains and others,2019,1932.73,96.89,17.28,86773.8
China,Sorghum,1990,1534.88,13.91,13.17,13851.2
Nigeria,Sorghum,2007,2472.25,17.97,18.55,8682.5
Japan,Wheat,2023,248.72,60.91,30.12,21506.0
Japan,Wheat,2002,2363.37,112.0,24.32,12833.6
South Africa,Potatoes,2000,2598.43,9.04,33.26,25662.2
Argentina,Plantains and others,2013,2230.84,31.86,25.45,37499.5
South Africa,Wheat,1991,1078.11,11.74,13.82,27761.6
Germany,Sorghum,2010,1616.95,46.95,28.81,14607.9
Canada,Wheat,2017,2900.26,43.58,12.54,15046.7
Nigeria,Sweet potatoes,1994,288.64,242.69,24.16,145988.5
India,Rice,1992,1905.79,29.04,35.14,24578.8
Australia,Rice,2007,247.4,41.49,25.04,41393.7
Brazil,Soybeans,1994,2340.69,46.9,33.45,7279.4
Argentina,Sweet potatoes,2020,1486.79,104.12,17.87,169333.3
Japan,Soybeans,2007,386.82,44.97,13.45,15272.3
Egypt,Soybeans,2008,2584.57,210.96,35.74,8536.8
Indonesia,Potatoes,1999,291.95,46.13,25.23,185624.2
Germany,Plantains and others,2006,1462.91,43.12,33.1,33207.2
France,Plantains and others,2003,2126.4,23.69,20.71,56927.9
India,Rice,2016,1597.05,138.84,25.94,53358.9
Japan,Maize,2003,2669.03,43.19,31.37,18114.8
South Africa,Potatoes,2017,517.78,19.45,24.46,205651.6
Canada,Yams,1992,760.86,24.13,15.71,108693.1
Argentina,Plantains and others,1993,605.42,19.6,35.3,35992.3
South Africa,Sweet potatoes,1995,847.5,123.31,27.43,115284.1
Indonesia,Rice,2014,974.58,27.21,28.17,59676.3
Brazil,Sorghum,1999,2493.87,55.69,20.51,7826.5
Nigeria,Plantains and others,2022,1517.71,52.8,32.81,42450.8
Canada,Sorghum,1990,2878.7,37.92,26.81,6633.1
United States,Rice,2021,303.79,21.73,20.99,44435.3
Canada,Cassava,2017,2565.38,23.26,28.99,39966.0
France,Cassava,2018,1134.65,26.85,33.38,51523.4
Egypt,Potatoes,2011,1348.42,16.38,25.15,249172.5
United States,Sorghum,2015,2616.48,82.93,13.09,8557.4
Japan,Plantains and others,1992,2314.65,32.76,16.78,31291.5
Egypt,Yams,1995,1166.71,29.71,18.12,110682.4
India,Maize,2016,1304.02,14.02,27.9,52616.0
South Africa,Rice,2021,2975.28,42.72,25.94,21791.4
Mexico,Soybeans,1998,1459.49,162.83,14.18,16978.4
India,Sweet potatoes,1996,514.08,79.36,19.34,137013.8
India,Yams,2004,1303.0,25.05,16.96,108369.4
Australia,Cassava,2006,221.36,21.96,17.93,119243.6
United States,Cassava,2021,579.71,39.96,23.82,148355.7
Nigeria,Sorghum,2006,472.64,26.14,27.87,16152.7
South Africa,Rice,2013,1812.0,29.37,32.33,35176.9
Australia,Wheat,2021,1150.32,21.44,25.82,39452.2
China,Plantains and others,2002,2865.66,38.86,26.07,33846.4
Indonesia,Rice,2001,2144.2,86.74,16.71,31037.0
India,Potatoes,2002,1443.33,55.13,19.57,206429.3
Mexico,Wheat,1999,993.72,39.69,12.08,31398.1
Nigeria,Sorghum,2018,1887.04,22.52,29.11,12101.7
India,Sweet potatoes,2023,2519.38,34.97,23.38,67830.5
Canada,Sweet potatoes,1992,2186.07,27.26,19.58,85770.1
Canada,Yams,1998,1556.36,50.9,29.13,71019.1
China,Potatoes,2019,1238.58,6.98,27.85,171989.2
Egypt,Plantains and others,2011,1206.4,18.11,26.08,100286.7
Brazil,Sorghum,2021,2005.01,98.91,31.56,8111.2
Canada,Potatoes,2015,2741.16,9.99,14.98,81009.3
China,Sorghum,2018,1339.88,76.43,15.07,19228.6
Germany,Sweet potatoes,1991,718.53,49.03,28.5,112264.9
Egypt,Plantains and others,2013,1738.76,96.83,17.24,92196.2
France,Plantains and others,2014,1227.94,68.28,24.62,104979.9
Australia,Rice,2005,2036.14,49.94,37.33,20171.2
Indonesia,Yams,1997,2834.98,66.36,25.06,46400.6
Argentina,Rice,2007,1480.65,91.4,20.0,47505.7
Japan,Sorghum,1991,2815.16,74.48,27.16,5595.8
Nigeria,Wheat,2006,933.13,27.13,34.99,14192.1
Nigeria,Yams,2003,2894.05,38.95,31.89,24971.2
Egypt,Cassava,2011,896.82,9.54,16.27,165507.4
Argentina,Soybeans,2014,668.63,18.69,34.48,23428.7
France,Plantains and others,1997,1996.79,107.9,37.24,24825.9
India,Potatoes,2006,326.48,105.16,22.63,194011.8
Australia,Cassava,2014,2330.15,30.65,36.15,23167.8
United States,Maize,1996,2343.21,34.72,35.27,12230.2
India,Soybeans,1990,2621.99,14.73,13.0,5917.2
Australia,Sweet potatoes,2012,2765.18,27.93,19.35,70982.7
China,Cassava,2020,2252.88,51.57,33.24,26905.9
Germany,Maize,2006,886.11,16.31,30.6,43949.0
Argentina,Sorghum,2000,1476.75,6.73,24.91,14515.9
Nigeria,Rice,1996,898.71,46.23,17.18,45622.5
South Africa,Cassava,2011,2950.09,35.61,22.22,49839.2
Japan,Plantains and others,2012,739.41,17.01,34.49,33463.1
Brazil,Maize,2009,1318.22,8.85,36.45,25465.0
Brazil,Cassava,2020,1676.11,63.4,32.42,43979.7
France,Maize,2013,228.81,58.86,17.45,46524.7
South Africa,Yams,2000,1911.57,26.07,31.51,43376.9
Argentina,Maize,2006,430.37,92.17,30.73,39693.3
Canada,Cassava,2006,2727.74,105.66,28.3,44963.3
China,Cassava,1990,1154.54,70.39,17.45,99580.0
South Africa,Sorghum,2022,2682.26,70.42,25.35,7674.5
India,Sorghum,2021,774.96,29.8,16.07,22521.6
Indonesia,Wheat,2020,1995.54,49.3,25.36,26755.6
United States,Maize,1991,2828.21,67.63,12.25,10116.3
Argentina,Cassava,2022,2699.22,12.99,15.0,53355.1
Argentina,Yams,1993,1891.24,45.33,16.92,67570.9
Nigeria,Rice,2011,475.85,13.6,32.36,34255.0
Egypt,Sweet potatoes,2008,2471.62,5.85,12.17,59276.5
France,Maize,2002,252.75,32.66,18.18,43622.8
China,Yams,1998,1061.57,6.01,26.83,88442.7
United States,Wheat,1998,2472.36,17.45,23.41,15039.0
Japan,Soybeans,1992,2240.08,82.17,24.01,9717.3
Mexico,Rice,2010,1515.21,6.93,15.97,36749.9
Egypt,Rice,2009,1325.89,33.63,26.53,58720.4
Germany,Rice,1998,2504.93,23.89,16.1,17943.7
United States,Yams,2023,1795.85,149.51,36.83,41432.3
South Africa,Maize,1996,2845.64,85.55,20.27,19624.7
United States,Sweet potatoes,1991,1194.74,6.52,12.23,125911.9
France,Yams,1997,1829.82,8.28,34.44,29419.5
Egypt,Rice,2016,2056.96,137.09,12.04,30803.1
United States,Cassava,1994,2181.87,52.03,37.79,23366.3
Australia,Sweet potatoes,1996,2310.32,245.32,36.84,24084.3
Australia,Sorghum,2001,299.67,47.95,16.84,20678.3
Egypt,Yams,2014,1296.58,38.43,18.03,124456.4
Brazil,Maize,1991,1051.88,111.0,24.37,45824.3
Germany,Rice,1990,1892.92,39.9,35.46,21348.2
South Africa,Soybeans,2007,1172.37,61.62,33.39,18506.8
France,Wheat,1998,206.04,55.28,32.54,13059.7
Mexico,Plantains and others,2010,1083.54,23.02,16.68,95625.8
Mexico,Maize,2011,2779.49,21.17,23.46,20575.4
Argentina,Plantains and others,2007,2427.48,21.61,17.49,38628.8
Brazil,Yams,1994,396.81,27.48,13.38,77826.7
China,Cassava,2022,2064.3,15.8,25.63,64649.5
Mexico,Maize,2023,343.72,5.38,32.33,35456.3
Egypt,Soybeans,2008,1060.97,105.43,28.62,28813.6
Argentina,Rice,2001,2330.08,110.58,17.07,26098.4
Egypt,Sorghum,2013,1369.13,14.02,16.01,22089.5
United States,Plantains and others,2009,1422.4,66.3,17.44,104473.0
Egypt,Sorghum,1990,1550.91,12.57,12.0,15282.2
Indonesia,Soybeans,1998,1320.76,52.05,34.24,20286.1
Argentina,Sweet potatoes,2016,1837.01,46.96,21.34,146225.7
Nigeria,Wheat,1998,972.43,26.54,25.88,34623.9
United States,Soybeans,2004,2556.28,90.47,30.53,10382.1
South Africa,Sorghum,2006,2541.37,110.34,36.27,3362.8
France,Wheat,2015,234.87,139.29,32.32,15257.6
Egypt,Sweet potatoes,2009,1352.47,16.48,37.17,70998.1
United States,Sorghum,1997,1940.21,15.19,22.17,13615.2
Indonesia,Yams,2014,1298.09,85.38,22.54,132001.8
Mexico,Plantains and others,2013,1368.66,23.56,37.71,40556.1
Argentina,Plantains and others,1993,734.01,18.68,22.03,82943.0
Egypt,Yams,2000,2720.71,34.24,28.67,38208.7
Japan,Plantains and others,2013,1616.59,173.75,22.59,77024.6
Canada,Sorghum,2002,1662.74,15.13,23.07,17993.6
Indonesia,Wheat,1994,1382.25,14.26,18.22,36862.1
Indonesia,Maize,2014,294.91,193.94,31.58,56685.3
Argentina,Plantains and others,2023,2921.24,40.64,20.29,40578.1
India,Cassava,2001,2606.47,72.2,37.12,18310.9
Australia,Rice,1990,1389.87,26.78,20.16,44089.7
Germany,Cassava,2018,1607.84,13.99,23.03,122068.4
Australia,Potatoes,2009,555.84,45.87,25.85,181919.8
United States,Rice,2001,1904.97,123.37,22.67,39059.3
Egypt,Plantains and others,2009,2275.53,103.84,21.66,51138.4
Mexico,Plantains and others,2022,568.79,152.2,30.37,77886.9
Australia,Maize,1994,1323.36,15.09,24.59,45180.1
Egypt,Cassava,2011,1693.28,59.66,33.06,49389.6
Mexico,Maize,2019,2696.97,13.27,29.95,20433.7
Brazil,Potatoes,1998,1082.33,84.16,37.61,78796.6
Brazil,Wheat,2008,578.2,5.17,26.78,26937.0
India,Yams,1992,2404.01,18.32,30.52,24935.3
United States,Sweet potatoes,2023,443.42,41.4,21.76,211701.4
Indonesia,Maize,2019,2347.89,81.31,24.56,25816.9
Japan,Sweet potatoes,2007,2151.84,36.37,30.65,42995.7
France,Cassava,2002,2003.97,18.41,34.14,30350.3
Nigeria,Sorghum,2000,1144.19,10.24,31.07,12696.6
China,Cassava,1992,1318.44,20.4,23.68,99312.0
Egypt,Yams,2023,2657.39,55.54,37.84,26260.1
Japan,Sorghum,1993,927.35,29.1,36.24,6330.5
United States,Cassava,2010,780.11,96.78,34.93,63700.2
Germany,Sorghum,2020,1032.85,39.01,17.56,23983.8
Canada,Plantains and others,2019,2491.56,46.04,22.63,56158.2
Japan,Soybeans,2019,2794.46,9.38,20.96,10139.5
India,Maize,2020,401.27,27.37,18.23,54017.6
Brazil,Plantains and others,1991,2821.31,8.24,15.26,34718.9
India,Plantains and others,2021,1140.8,14.75,32.79,48957.4
Australia,Sweet potatoes,2018,434.87,74.74,13.11,171065.8
France,Sweet potatoes,2000,1335.45,60.98,16.83,147053.8
United States,Sweet potatoes,1993,1505.25,88.85,29.18,110224.9
South Africa,Yams,1997,1547.28,32.96,31.76,46094.7
Indonesia,Soybeans,2004,2180.88,53.48,15.83,13426.5
United States,Potatoes,2011,2256.88,21.06,34.64,41869.1
Canada,Cassava,2013,1640.32,79.72,33.18,45576.8
Canada,Potatoes,2021,2339.21,101.7,26.92,89426.2
Mexico,Potatoes,1996,1734.75,7.84,22.82,143358.0
South Africa,Sorghum,2013,661.55,48.49,13.27,22047.7
Egypt,Rice,2014,2859.0,69.27,14.35,19854.0
Brazil,Yams,2011,1450.01,16.13,21.63,96306.4
Indonesia,Yams,2000,1211.17,11.48,15.23,118525.5
India,Plantains and others,1996,1840.73,97.41,37.97,28226.2
Indonesia,Soybeans,2023,2485.38,116.48,19.23,11919.3
United States,Soybeans,2011,2668.09,32.18,28.64,12363.7
France,Potatoes,2005,1359.31,30.41,31.41,96166.2
Indonesia,Wheat,2000,2517.3,27.19,16.75,15243.4
Mexico,Sorghum,1990,1068.62,14.87,17.47,18552.8
South Africa,Sweet potatoes,2001,2563.98,12.59,34.46,24094.4
Nigeria,Plantains and others,1991,731.32,58.58,32.64,43444.1
Mexico,Rice,2001,294.47,69.94,33.02,26815.8
Nigeria,Plantains and others,2007,2498.06,81.36,34.04,19581.2
India,Potatoes,2015,687.14,94.63,24.05,217956.4
Indonesia,Rice,1993,2472.51,39.89,37.88,10795.3
France,Cassava,2021,283.75,45.7,12.83,107644.3
Mexico,Sorghum,2009,628.43,116.44,17.98,19474.1
France,Rice,2008,1176.67,93.75,17.12,40394.7
Canada,Cassava,2016,2449.34,81.1,26.88,53355.5
Indonesia,Wheat,2016,1991.33,97.28,23.37,29595.9
Japan,Rice,1990,1865.08,76.11,30.7,32900.5
France,Yams,2012,330.64,40.84,24.52,90462.2
Mexico,Yams,2011,1103.55,8.44,26.88,68715.8
France,Sorghum,1998,2229.99,32.13,28.01,6492.8
Argentina,Rice,2003,1489.61,12.3,35.7,25705.7
India,Soybeans,2010,1975.73,57.2,21.54,18984.4
Germany,Sorghum,2022,2258.75,9.48,17.18,10139.3
Mexico,Maize,2011,386.47,14.05,26.41,44882.3
France,Soybeans,1990,504.19,124.38,20.06,19511.9
United States,Maize,1999,789.9,22.91,20.14,57106.4
Egypt,Soybeans,2022,2590.59,40.7,20.55,14118.2
Canada,Yams,2001,1760.11,45.91,34.41,34639.5
Canada,Wheat,2017,1517.85,33.64,17.13,34407.2
Canada,Rice,2006,730.5,11.85,33.49,38997.4
Australia,Sorghum,2008,1039.47,49.1,36.88,9323.5
Brazil,Soybeans,1991,1666.79,32.41,36.05,11140.7
Japan,Yams,2023,2051.01,187.14,18.39,76148.8
Germany,Yams,2011,1424.23,318.94,27.98,93545.9
Japan,Potatoes,1991,494.31,221.09,20.76,164134.4
Nigeria,Yams,2000,1840.49,156.49,28.84,69891.6
Nigeria,Maize,2012,279.18,19.52,18.8,47634.9
Nigeria,Sorghum,2017,1814.69,17.19,28.56,15609.1
India,Maize,2002,1434.81,37.75,37.63,22060.4
France,Sweet potatoes,2007,1753.46,79.16,36.83,57160.0
Egypt,Yams,2019,1224.78,9.71,20.35,124409.4
Brazil,Potatoes,2015,1602.82,50.52,22.18,197019.8
Mexico,Sweet potatoes,2018,2384.66,109.72,20.2,72024.8
Canada,Wheat,1990,2722.76,280.39,17.31,14139.1
Nigeria,Potatoes,2021,887.16,25.93,15.21,260480.7
Indonesia,Yams,1993,2482.73,62.43,27.48,34264.1
Japan,Plantains and others,2000,1890.16,34.05,17.64,50073.3
South Africa,Plantains and others,1990,2916.63,86.57,22.17,26175.0
India,Plantains and others,2009,670.39,20.94,17.05,87669.5
Nigeria,Plantains and others,2007,862.94,5.44,13.73,91295.1
Mexico,Sorghum,1997,2735.25,20.65,29.04,6065.6
Argentina,Yams,1994,2429.28,110.75,12.81,38086.5
Canada,Sweet potatoes,2009,1340.3,55.13,35.65,62971.8
Mexico,Soybeans,2018,1217.91,8.87,36.34,16757.7
Mexico,Potatoes,1997,2110.2,37.92,25.2,120310.6
South Africa,Soybeans,2007,2995.37,9.21,18.96,9896.2
Mexico,Soybeans,2009,2917.21,37.03,18.58,12075.5
Brazil,Potatoes,2000,2816.83,9.75,21.3,66038.4
India,Soybeans,1994,963.79,48.66,12.12,15386.7
Japan,Soybeans,2021,2422.17,47.12,33.2,8893.2
South Africa,Sweet potatoes,2001,892.79,38.22,18.27,146949.9
France,Potatoes,2014,648.15,6.41,20.88,182367.1
South Africa,Soybeans,2017,2709.95,71.72,13.44,6980.5
Egypt,Cassava,1999,2976.42,16.0,21.89,55489.0
Brazil,Rice,1990,2342.71,5.56,29.51,20200.8
Nigeria,Soybeans,2004,2538.81,41.77,37.54,6389.3
China,Yams,1990,2385.17,200.88,37.83,14045.5
Egypt,Wheat,1996,1036.82,53.57,14.25,39149.8
Germany,Plantains and others,1997,961.37,35.91,14.73,101240.9
United States,Plantains and others,1992,1812.99,59.98,15.32,68830.6
Brazil,Cassava,2012,397.46,17.64,18.44,129764.6
France,Rice,2012,2006.75,38.16,21.07,43297.5
China,Cassava,1995,1761.74,35.23,36.45,35222.9
Indonesia,Wheat,2019,1248.27,10.35,35.94,15993.1
Argentina,Cassava,1990,936.14,9.66,12.03,85658.5
Indonesia,Sorghum,1993,669.45,47.48,12.5,19937.6
Canada,Wheat,2002,1718.3,58.28,27.87,24174.0
Mexico,Potatoes,2023,696.15,134.77,24.58,251809.4
France,Sweet potatoes,1998,296.52,81.47,14.81,127731.2
United States,Cassava,2020,2218.16,34.94,21.85,61913.2
Nigeria,Sweet potatoes,2011,2380.55,14.92,12.04,69035.2
Egypt,Wheat,2020,624.01,87.75,19.55,41692.9
Canada,Sorghum,2001,2535.2,22.08,18.77,10501.7
Nigeria,Soybeans,2017,1934.34,20.78,37.35,11262.1
Argentina,Sorghum,2008,2965.64,13.7,22.43,7765.2
France,Rice,2016,940.54,18.88,16.1,41393.2
Indonesia,Maize,2021,2731.53,127.63,14.81,18475.0
Australia,Sweet potatoes,1994,2537.37,121.9,24.91,69703.1
Australia,Yams,2014,365.93,33.03,36.19,47224.5
Germany,Potatoes,1993,470.34,69.42,18.38,160909.5
Mexico,Rice,1996,886.97,21.53,16.67,37290.5
Argentina,Maize,1997,1685.29,21.07,27.3,39611.3
Australia,Rice,2015,525.16,19.53,17.43,48311.8
United States,Maize,1993,2217.24,11.8,31.86,22784.6
United States,Plantains and others,1998,2066.49,11.58,14.9,53778.5
Germany,Sorghum,2002,1468.18,106.1,13.93,16327.5
Indonesia,Potatoes,2017,2588.26,6.19,26.77,78794.0
South Africa,Potatoes,1990,2212.47,135.57,14.65,79380.8
United States,Soybeans,1994,1395.95,16.12,23.51,27850.2
Canada,Yams,2005,2589.87,257.24,16.5,53930.0
Argentina,Yams,2022,1973.95,80.77,28.99,58079.9
Germany,Wheat,2013,1791.37,67.57,32.18,15581.0
Mexico,Wheat,2019,2850.65,27.9,32.22,7961.1
Egypt,Rice,2005,1059.94,22.47,19.22,55345.3
Japan,Sorghum,1995,1718.72,31.31,37.03,5172.7
China,Rice,2022,1482.63,7.02,27.01,43519.8
Canada,Yams,1998,2925.16,51.04,23.67,44180.1
Australia,Maize,1990,1656.93,157.19,33.18,31513.7
Mexico,Sorghum,2016,2026.26,9.04,19.9,12084.1
France,Sweet potatoes,2022,1510.25,42.18,18.88,163000.7
South Africa,Potatoes,2014,1975.74,34.82,21.66,143452.2
China,Wheat,1996,2003.21,43.05,14.15,19029.6
Nigeria,Cassava,2018,2872.95,78.16,20.25,58563.3
Australia,Wheat,2018,208.2,27.98,19.15,43824.4
Brazil,Maize,2007,1605.76,148.48,25.24,39422.4
France,Sweet potatoes,1996,1096.23,69.79,26.45,133631.0
South Africa,Sorghum,1999,1307.3,114.19,26.97,17230.3
France,Wheat,2019,351.04,10.56,18.0,37901.7
United States,Maize,2023,2514.19,202.31,22.78,27292.6
Canada,Soybeans,2015,730.09,16.52,24.46,31596.1
Germany,Rice,2017,1057.07,157.23,18.36,44526.8
Egypt,Soybeans,1992,1842.82,9.82,22.66,21479.6
India,Maize,2010,2799.26,33.42,21.47,22570.1
Canada,Yams,1991,2758.05,80.2,22.69,37245.1
Brazil,Sorghum,2002,1097.94,72.31,23.03,17188.4
South Africa,Maize,1997,733.33,32.83,24.74,45399.8
Canada,Yams,2000,1421.25,33.62,22.94,97193.4
China,Soybeans,2008,470.86,15.14,14.88,19401.6
Egypt,Rice,2015,663.58,12.83,20.32,49559.4
China,Sweet potatoes,1998,263.34,40.24,17.01,135218.6
South Africa,Sweet potatoes,2006,2691.63,53.63,17.24,64216.3
China,Wheat,1998,2854.64,65.74,36.05,6430.6
Brazil,Plantains and others,2013,2476.78,37.18,13.56,35333.4
Argentina,Potatoes,2005,1271.98,33.51,31.23,115933.0
Germany,Plantains and others,1999,2186.47,58.04,36.23,17935.6
Mexico,Soybeans,2009,2775.23,225.04,35.55,6913.9
Japan,Potatoes,2009,2021.58,6.82,31.46,72551.4
Mexico,Plantains and others,2010,855.2,18.08,35.22,43972.5
South Africa,Wheat,2021,2097.68,75.57,23.43,20245.9
Indonesia,Potatoes,2004,1275.24,137.85,25.26,227251.4
Egypt,Cassava,2011,260.72,21.17,19.37,146209.8
Nigeria,Cassava,2011,989.67,39.04,21.4,158521.1
United States,Yams,2002,1349.78,51.0,36.62,48871.8
United States,Plantains and others,2001,852.04,98.47,29.16,78451.2
India,Sweet potatoes,1999,577.16,13.22,29.57,104966.5
Nigeria,Potatoes,2023,2198.96,42.97,33.94,54186.8
Nigeria,Cassava,2018,2569.46,105.67,33.9,25683.4
Mexico,Wheat,2022,1087.43,24.39,26.8,33402.1
Indonesia,Sweet potatoes,2022,1519.04,79.32,13.13,187937.4
Argentina,Sorghum,2013,1693.04,96.3,33.57,7780.3
Australia,Yams,2010,1109.35,32.59,34.68,53652.4
Argentina,Sweet potatoes,2005,1411.53,12.86,28.28,109416.8
Brazil,Sweet potatoes,1993,2437.96,6.77,36.32,21330.4
South Africa,Plantains and others,2006,1507.92,84.56,26.95,79249.1
South Africa,Sorghum,2013,1080.63,53.66,35.5,8563.5
South Africa,Sweet potatoes,2016,912.08,37.06,23.27,152587.9
Indonesia,Cassava,2017,1750.11,11.59,31.62,63456.2
South Africa,Cassava,2010,2320.92,14.14,13.46,41006.7
Mexico,Yams,2008,2765.82,10.61,17.65,45814.8
Germany,Yams,2011,527.15,6.98,26.71,74358.5
China,Potatoes,2010,2689.27,33.5,36.76,32417.0
Nigeria,Wheat,1993,1723.56,64.69,30.75,16383.9
Argentina,Wheat,1997,747.4,135.26,29.15,22695.9
Germany,Yams,1997,1900.74,84.78,16.24,77577.6
South Africa,Cassava,1995,332.06,110.94,17.24,102795.1
United States,Sorghum,2004,1380.73,9.3,33.42,7980.1
South Africa,Sweet potatoes,2005,612.28,32.32,12.45,154429.3
Germany,Maize,2009,268.28,302.11,23.67,55221.7
India,Soybeans,2018,2641.63,58.34,36.53,7206.3
South Africa,Plantains and others,1991,307.6,117.87,15.8,85302.8
Brazil,Plantains and others,1997,2071.75,22.87,14.34,49703.7
Germany,Rice,2000,1327.54,34.28,22.56,52383.9
Australia,Plantains and others,2004,1551.41,32.39,27.43,69291.8
Japan,Maize,2006,984.26,17.08,30.87,42402.2
Egypt,Wheat,1990,1605.64,55.8,22.21,34469.3
Argentina,Soybeans,1997,844.53,16.8,33.65,20355.4
Canada,Yams,2022,254.55,57.84,18.26,98106.9
Indonesia,Sweet potatoes,1990,1020.4,11.72,31.25,92446.3
Egypt,Plantains and others,2003,214.2,42.08,23.78,81331.3
Canada,Soybeans,2001,825.99,37.96,15.45,28652.4
Canada,Yams,2015,1267.48,226.5,29.56,94589.5
Brazil,Potatoes,1998,2499.19,13.91,37.85,26583.0
Nigeria,Cassava,2010,2575.82,91.05,22.45,53577.8
Egypt,Plantains and others,2016,673.58,50.83,17.53,135817.4
Australia,Potatoes,1996,1262.15,53.13,31.86,103133.0
Argentina,Rice,2017,2655.61,42.6,17.18,20070.2
United States,Cassava,1991,2137.47,86.01,18.05,69329.4
United States,Potatoes,2010,2293.05,113.11,30.48,63695.8
Mexico,Cassava,2003,2280.22,40.93,25.29,43001.8
Egypt,Maize,2002,2697.63,8.88,27.94,24983.6
Canada,Maize,2001,1498.41,67.66,28.26,50548.3
Australia,Yams,1992,608.14,78.7,27.86,95459.6
Canada,Rice,2018,620.45,20.42,29.59,51038.9
France,Rice,2002,614.48,8.17,19.91,42074.4
Argentina,Yams,1995,2760.96,8.17,24.31,37847.8
Brazil,Sorghum,1996,2551.28,134.29,26.27,6420.5
China,Plantains and others,2021,1495.97,157.08,30.75,55901.0
Egypt,Wheat,2000,1832.17,29.02,25.15,25914.2
South Africa,Soybeans,2004,1061.4,92.0,26.22,25608.5
Argentina,Wheat,1995,2855.96,19.08,16.5,13041.9
South Africa,Soybeans,2020,460.05,13.23,31.06,21976.4
Brazil,Soybeans,2011,284.04,51.48,17.47,18831.9
Australia,Rice,2018,1917.85,293.57,33.2,37149.8
United States,Maize,2015,313.08,9.52,31.95,46889.2
Canada,Sweet potatoes,2014,446.35,26.47,31.4,104836.6
Australia,Cassava,1990,434.44,28.54,20.46,114716.5
Nigeria,Rice,2016,2655.65,10.21,15.93,18936.5
Argentina,Potatoes,2007,2844.11,11.67,36.21,36694.5
United States,Plantains and others,2016,2356.48,20.46,21.96,42860.9
France,Soybeans,2002,261.88,23.18,34.49,15006.4
China,Wheat,2009,1179.47,90.03,34.08,12791.6
India,Maize,2009,1696.8,7.26,30.11,37131.8
Canada,Potatoes,2014,2963.23,287.25,18.49,122276.1
Germany,Plantains and others,1991,2865.01,52.4,15.04,35443.8
United States,Sweet potatoes,2007,739.03,30.22,34.79,68958.0
China,Maize,1991,2900.74,56.25,33.21,13575.9
Australia,Sorghum,2002,1652.89,36.67,25.59,16868.4
Canada,Wheat,1991,2689.28,11.72,25.86,12698.5
Germany,Sorghum,2014,1111.92,6.1,36.05,9005.3
United States,Rice,2005,2326.73,42.42,21.41,32641.5
India,Wheat,2016,2350.57,86.6,24.72,15409.7
Argentina,Wheat,2022,2440.36,46.87,30.13,10231.0
Argentina,Plantains and others,2016,634.65,90.29,32.58,52914.3
India,Potatoes,2005,1337.86,93.6,13.9,174283.5
Germany,Sorghum,2009,1997.32,30.13,26.1,10745.4
South Africa,Sorghum,1990,1191.65,37.98,34.76,7066.3
India,Potatoes,1999,856.06,7.12,16.27,188242.3
Egypt,Sorghum,2010,2384.31,12.07,36.41,4352.8
Argentina,Soybeans,2011,660.19,34.52,28.61,25192.1
Canada,Sorghum,2023,1229.97,39.74,20.14,24272.3
Brazil,Wheat,2006,1083.52,26.23,17.91,30514.7
Australia,Yams,2005,1416.97,8.5,35.47,43626.3
Mexico,Potatoes,1992,1507.6,25.0,22.23,163230.8
Indonesia,Cassava,2015,2678.57,49.83,30.87,34649.7
Japan,Potatoes,1993,1359.56,22.4,33.15,63565.7
South Africa,Sorghum,2010,1475.54,14.93,28.57,13597.5
Germany,Yams,1993,1062.52,22.83,24.21,96604.3
Brazil,Wheat,1990,2129.54,10.65,19.2,17587.1
Brazil,Plantains and others,1992,678.42,29.31,19.96,85990.1
Canada,Rice,2013,2031.46,29.9,17.95,37028.7
France,Sweet potatoes,1991,1416.53,102.27,20.37,158769.6
Canada,Maize,2018,682.51,28.8,18.97,55985.2
Canada,Sorghum,1991,481.14,20.73,35.75,7812.1
Canada,Yams,2010,2676.08,75.0,14.38,45231.4
Indonesia,Wheat,2012,212.25,54.36,17.6,40340.5
Argentina,Soybeans,2015,2196.29,282.06,24.46,13432.1
Japan,Maize,1993,2980.42,45.41,16.27,16385.0
Canada,Yams,1997,1947.02,113.1,31.02,41800.5
Canada,Sorghum,2012,1690.61,47.64,22.15,18738.4
Germany,Soybeans,2013,908.16,6.94,17.28,26301.5
France,Sorghum,2017,369.97,60.68,30.68,12799.2
China,Maize,2015,1552.44,143.38,29.3,37004.7
South Africa,Soybeans,2020,850.05,55.77,23.46,30538.7
Canada,Potatoes,2004,2819.36,28.63,31.61,48405.9
South Africa,Sweet potatoes,2015,1290.99,9.42,12.12,135129.3
Egypt,Yams,1994,1912.49,12.51,23.09,66664.6
Brazil,Maize,2002,2752.51,234.63,28.08,18574.8
Argentina,Plantains and others,2021,2835.09,16.79,35.01,18059.1
Canada,Wheat,2007,1478.4,72.78,17.17,33910.1
South Africa,Potatoes,2017,1197.03,65.12,27.43,196839.6
Mexico,Potatoes,1999,2587.17,108.15,27.84,61620.0
Canada,Yams,2023,2729.57,52.3,34.45,22017.8
Germany,Potatoes,2003,854.62,7.58,21.0,207159.1
United States,Sorghum,2002,1713.61,24.39,15.01,16082.6
Indonesia,Cassava,2015,2534.92,71.42,36.86,28114.2
